fiscal_year,total_deflator
1970,14.05
1971,14.7
1972,15.35
1973,15.87
1974,17.17
1975,19.81
1976,21.26
1977,22.96
1978,24.61
1979,26.64
1980,29.61
1981,32.86
1982,36.1
1983,38.14
1984,40.03
1985,41.39
1986,42.55
1987,43.7
1988,45.01
1989,46.9
1990,48.83
1991,50.93
1992,52.45
1993,53.71
1994,54.79
1995,55.83
1996,56.94
1997,57.97
1998,58.38
1999,58.84
2000,59.67
2001,60.8
2002,61.29
2003,61.9
2004,63.14
2005,64.9
2006,66.91
2007,68.72
2008,70.37
2009,71.43
2010,72
2011,73.44
2012,74.76
2013,75.88
2014,77.02
2015,77.87
2016,78.79
2017,80.14
2018,81.91
2019,83.46
2020,84.55
2021,87.17
2022,93.18
2023,97.66
2024,100
2025,102.1
2026,104.24
2027,106.43
2028,108.67
