sdc_deal_number,date_announced,date_effective,net_debt_of_target,deal_value,target_full_name,target_macro_industry,target_mid_industry,target_nation,acquiror_full_name,acquiror_macro_industry,acquiror_mid_industry,acquiror_nation,acquiror_ultimate_parent_mid_industry,target_ultimate_parent_mid_industry,merger_type
3625346020,08-24-2020,12-02-2020,"3,212.06","3,180.06",Luminar Technologies Inc,Industrials,Aerospace & Defense,United States,Gores Metropoulos Inc,Financials,Alternative Financial Investments,United States,Alternative Financial Investments,Aerospace & Defense,Disclosed Dollar Value Deal
3596346020,07-02-2020,09-29-2020,"2,030.53","2,038.53",Velodyne Lidar Inc,Industrials,Aerospace & Defense,United States,Graf Industrial Corp,Financials,Alternative Financial Investments,United States,Alternative Financial Investments,Aerospace & Defense,Disclosed Dollar Value Deal
3510011020,02-04-2020,05-04-2020,"1,000.00","1,000.00",L3Harris Technologies Inc-Security Detection & Automation Business,Consumer Products and Services,Professional Services,United States,Leidos Holdings Inc,High Technology,IT Consulting & Services,United States,IT Consulting & Services,Aerospace & Defense,Disclosed Dollar Value Deal
3504121020,01-20-2020,07-31-2020,"1,925.00","1,925.00",Collins Aerospace-Military Global Positioning System Business,Telecommunications,Telecommunications Equipment,United States,BAE Systems Inc,Industrials,Aerospace & Defense,United States,Aerospace & Defense,Aerospace & Defense,Disclosed Dollar Value Deal
3435164020,07-29-2019,09-16-2019,"1,725.00","1,725.00",Exotic Metals Forming Co LLC,Industrials,Aerospace & Defense,United States,Parker-Hannifin Corp,Industrials,Machinery,United States,Machinery,Aerospace & Defense,Disclosed Dollar Value Deal
3409687020,06-09-2019,04-03-2020,"89,794.16","86,831.16",Raytheon Co,Industrials,Aerospace & Defense,United States,United Technologies Corp,Industrials,Aerospace & Defense,United States,Aerospace & Defense,Aerospace & Defense,Disclosed Dollar Value Deal
3313452020,11-26-2018,04-03-2020,"24,455.31","19,598.31",Otis Elevator Co,Industrials,Machinery,United States,Shareholders,Financials,Other Financials,United States,Other Financials,Aerospace & Defense,Disclosed Dollar Value Deal
3313498020,11-26-2018,04-03-2020,"20,739.68","10,394.68",UTC Climate Controls & Security,Industrials,Machinery,United States,Shareholders,Financials,Other Financials,United States,Other Financials,Aerospace & Defense,Disclosed Dollar Value Deal
3298725020,10-14-2018,06-29-2019,"19,095.87","16,244.87",L3 Technologies Inc,High Technology,Electronics,United States,Harris Corp,Industrials,Aerospace & Defense,United States,Aerospace & Defense,Electronics,Disclosed Dollar Value Deal
3269691020,10-10-2018,03-14-2019,"3,910.12","3,610.06",Esterline Technologies Corp,Industrials,Other Industrials,United States,TransDigm Group Inc,Industrials,Aerospace & Defense,United States,Aerospace & Defense,Other Industrials,Disclosed Dollar Value Deal
