report_date,service,program,base_year,baseline_type,prime_contractor,secondary_contractor,platform_portfolio,cohort,merger_exposure,treatment_rule,baseline_pauc_total,baseline_pauc_qty,baseline_pauc_est,current_pauc_total,current_pauc_qty,current_pauc_est,baseline_apuc_total,baseline_apuc_qty,baseline_apuc_est,current_apuc_total,current_apuc_qty,current_apuc_est
2010-12-31,Army,AB3A Remanufacture,2010,PdE,Boeing,Longbow LLC,Aircraft,2016,Lockheed-Sikorsky,sub-Lockheed,10468.7,639,16.383,10452.7,639,16.358,8856.9,634,13.97,8855.7,634,13.968
2010-12-31,Army,AB3B New Build,2010,PdE,Boeing,Longbow LLC,Aircraft,2016,Lockheed-Sikorsky,sub-Lockheed,2134.6,56,38.118,2156.6,57,37.835,2134.6,56,38.118,2156.6,57,37.835
2010-12-31,Army,CH-47F,2005,PdE,Boeing,,Aircraft,0,,,10614.8,512,20.732,12703.1,532,23.878,10435.1,510,20.461,12519.8,530,23.622
2010-12-31,Army,Excalibur,2007,PdE,Raytheon,,Ordnance and Missiles,0,,,1654.4,7474,0.221,1684.6,7474,0.225,661.2,6930,0.095,691.1,6930,0.1
2010-12-31,Army,FMTV,1996,PdE,Oshkosh,,Land Vehicles,0,,,15024.7,83185,0.181,15436.6,87839,0.176,14890.6,83185,0.179,15262.2,87839,0.174
2010-12-31,Army,GMLRS/GMLRS AW,2003,PdE,Lockheed Martin,Alliant TechSystems (ATK),Ordnance and Missiles,2019,Northrop-Orbital ATK,sub-ATK,4578.4,43795,0.105,4877.4,43882,0.111,3966.7,43560,0.091,4157.8,43560,0.095
2010-12-31,Army,HIMARS,2003,PdE,Lockheed Martin,,Ordnance and Missiles,0,,,3711.6,894,4.152,1782.4,381,4.678,3421.1,888,3.853,1540.2,375,4.107
2010-12-31,Army,IAMD,2009,DE,Northrop Grumman,,Air and Missile Defense,0,,,4806.8,296,16.239,5339.7,296,18.04,3316,285,11.635,3389,285,11.891
2010-12-31,Army,JLENS,2005,DE,Raytheon,,"Electronics, Comms, and Sensors",0,,,5850,16,365.625,6896,16,431,4027,14,287.643,4563,14,325.929
2010-12-31,Army,LUH,2006,PdE,EADS-NA Defense,,Aircraft,0,,,1638.3,322,5.088,1809.2,345,5.244,1635.1,322,5.078,1806,345,5.235
2010-12-31,Army,MQ-1C UAS Gray Eagle,2010,PdE,General Atomics,,Aircraft,0,,,5252,31,169.419,5022.2,31,162.006,3364.7,29,116.024,3310.1,29,114.141
2010-12-31,Army,Patriot PAC-3,2002,PdE,Lockheed Martin,Raytheon,Air and Missile Defense,0,,,7084,1012,7,9597.4,1210,7.932,4156.4,1012,4.107,6167.2,1210,5.097
2010-12-31,Army,Patriot MEADS CAP - Fire Unit,2004,DE,Lockheed Martin,MBDA,Air and Missile Defense,0,,,16530.5,48,344.385,2879.5,0,,11999.1,48,249.981,79,0,
2010-12-31,Army,PAC-3 MSE,2004,DE,Lockheed Martin,Boeing,Air and Missile Defense,0,,,6220.9,1528,4.071,6776.2,1528,4.435,5760,1528,3.77,6119.8,1528,4.005
2010-12-31,Army,Stryker,2004,PdE,General Dynamics,,Land Vehicles,0,,,6824.8,2131,3.203,15548.7,4235,3.671,6037.6,2128,2.837,12361.2,4225,2.926
2010-12-31,Army,UH-60M Black Hawk,2005,PdE,Sikorsky,,Aircraft,2016,Lockheed-Sikorsky,sub-Lockheed,16801.7,1235,13.605,22088.6,1375,16.064,16084.2,1227,13.109,21327.3,1367,15.602
2010-12-31,Army,WIN-T Inc 1,2007,PdE,General Dynamics,,"Electronics, Comms, and Sensors",0,,,3798,1677,2.265,4186.1,1860,2.251,3775,1677,2.251,4151.6,1860,2.232
2010-12-31,Army,WIN-T Inc 2,2010,PdE,General Dynamics,,"Electronics, Comms, and Sensors",0,,,3617.2,1893,1.911,5892.3,2846,2.07,3384.5,1837,1.842,5620.5,2790,2.015
2010-12-31,Army,WIN-T Inc 3,2009,DE,General Dynamics,,"Electronics, Comms, and Sensors",0,,,15807.9,3482,4.54,13397,3207,4.177,13212.4,3443,3.837,11250.7,3168,3.551
2010-12-31,Navy,AGM-88E AARGM,2003,PdE,Alliant TechSystems (ATK),,Ordnance and Missiles,2019,Northrop-Orbital ATK,prime-ATK,1339.8,1790,0.748,1592.2,1919,0.83,806.5,1750,0.461,987.7,1879,0.526
2010-12-31,Navy,AIM-9X Block I,1997,PdE,Raytheon,,Ordnance and Missiles,0,,,2464,10049,0.245,2939.3,10142,0.29,1932.6,10000,0.193,2287.9,10097,0.227
2010-12-31,Navy,CEC,2002,PdE,Raytheon,,"Electronics, Comms, and Sensors",2021,Raytheon-UTC,prime-Raytheon,2443.4,183,13.352,4316.7,271,15.929,1262.8,174,7.257,1657.4,241,6.877
2010-12-31,Navy,CH-53K,2006,DE,Sikorsky,,Aircraft,2016,Lockheed-Sikorsky,prime-Sikorsky,14980.9,156,96.031,20303.6,200,101.518,11018.9,152,72.493,14822.2,196,75.623
2010-12-31,Navy,COBRA JUDY Replacement,2003,DE,Raytheon,,"Electronics, Comms, and Sensors",0,,,1365,1,1365,1527.6,1,1527.6,0,0,,0,0,
2010-12-31,Navy,DDG 1000,2005,DE,General Dynamics,Raytheon,Ships and Submarines,2021,Raytheon-UTC,sub-Raytheon,19189.3,3,6396.433,18417,3,6139,10195.3,3,3398.433,9308.9,3,3102.967
2010-12-31,Navy,DDG 51,1987,PdE,General Dynamics,Northrop Grumman,Ships and Submarines,0,,,16723.8,23,727.122,60164.9,75,802.199,15745.3,23,684.578,57095.5,75,761.273
2010-12-31,Navy,E-2D AHE,2009,PdE,Northrop Grumman,,Aircraft,0,,,17468.6,75,232.915,17140.3,75,228.537,13281.9,70,189.741,12716.8,70,181.669
2010-12-31,Navy,EA-18G,2004,PdE,Boeing,General Electric,Aircraft,0,,,7662.6,90,85.14,9741.5,114,85.452,6030.5,90,67.006,8033,114,70.465
2010-12-31,Navy,F/A-18E/F,2000,PdE,Boeing,General Electric,Aircraft,0,,,65944.7,1000,65.945,46637.2,556,83.88,59976.8,1000,59.977,40742,556,73.277
2010-12-31,Navy,H-1 Upgrades (4BW/4BN),2008,PdE,Bell Helicopters,,Aircraft,0,,,7852.2,284,27.649,11948.2,353,33.848,6352.9,280,22.689,10088.8,349,28.908
2010-12-31,Navy,IDECM - Blocks 2/3,2008,PdE,ITT Exelis,BAE Systems,"Electronics, Comms, and Sensors",0,,,1410.9,12809,0.11,1482,12805,0.116,956,12809,0.075,1025.6,12805,0.08
2010-12-31,Navy,IDECM - Block 4,2008,DE,ITT Exelis,BAE Systems,"Electronics, Comms, and Sensors",2020,L3-Harris,prime-L3,660.7,160,4.129,781.7,190,4.114,451.2,160,2.82,541.9,190,2.852
2010-12-31,Navy,JHSV,2008,DE,Austal,,Ships and Submarines,0,,,3460,18,192.222,3495.9,18,194.217,3337.8,18,185.433,3364.6,18,186.922
2010-12-31,Navy,JPALS,2008,DE,Raytheon,,"Electronics, Comms, and Sensors",2021,Raytheon-UTC,prime-Raytheon,963.2,37,26.032,935.6,37,25.286,202.9,25,8.116,211.9,26,8.15
2010-12-31,Navy,JSOW - Baseline,1990,PdE,Raytheon,,Ordnance and Missiles,0,,,1505.8,3334,0.452,1497.8,3334,0.449,941.7,3334,0.282,934.2,3334,0.28
2010-12-31,Navy,JSOW - Unitary,1990,PdE,Raytheon,,Ordnance and Missiles,0,,,3360.9,7800,0.431,2192.2,7000,0.313,3103.7,7800,0.398,1847.2,7000,0.264
